
Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rof,Rdrs,Rdrs/yr,Rpm,Rof,Rhr,RF/9,RF/G
1,Nori Aoki,34,SEA,AL,1,0,0,2.0,0,0,0,0,0,,0,0,0,0,0,0,,,,0.00,0.00
2,Brandon Barnes,30,COL,NL,1,1,0,6.0,2,2,0,0,0,1.000,0,94,0,0,1,160,1,0,,3.00,2.00
3,Charlie Blackmon,29,COL,NL,3,2,2,20.0,3,3,0,0,0,1.000,-1,-35,-0,-0,0,0,0,0,,1.35,1.00
4,Gregor Blanco,32,SFG,NL,2,1,1,10.0,2,2,0,0,0,1.000,-0,-34,-0,-0,0,0,0,0,,1.80,1.00
5,Jackie Bradley,26,BOS,AL,2,2,2,17.0,8,8,0,0,0,1.000,1,56,1,-0,0,0,0,0,,4.24,4.00
6,Socrates Brito,23,ARI,NL,1,1,0,7.0,2,2,0,0,0,1.000,0,81,0,0,1,137,1,0,,2.57,2.00
7,Keon Broxton,26,MIL,NL,1,1,0,6.0,1,1,0,0,0,1.000,0,48,0,0,0,0,0,0,,1.50,1.00
8,Billy Burns,26,OAK,AL,2,2,2,18.0,3,3,0,0,0,1.000,0,3,0,0,-1,-80,-1,0,,1.50,1.50
9,Byron Buxton,22,MIN,AL,2,2,2,16.2,5,5,0,0,0,1.000,-0,-14,-0,0,-1,-86,-1,0,,2.70,2.50
10,Lorenzo Cain,30,KCR,AL,2,2,2,18.0,6,6,0,0,0,1.000,-0,-10,-0,0,1,53,1,0,,3.00,3.00
11,Yoenis Cespedes,30,NYM,NL,1,1,0,6.0,1,1,0,0,0,1.000,-0,-82,-0,0,0,0,0,0,,1.50,1.00
12,Coco Crisp,36,OAK,AL,1,1,1,9.0,3,3,0,0,0,1.000,-0,-7,-0,-0,0,0,0,0,,3.00,3.00
13,Rajai Davis,35,CLE,AL,2,1,0,10.0,2,2,0,0,0,1.000,-0,-14,-0,-0,0,0,0,0,,1.80,1.00
14,Delino DeShields,23,TEX,AL,2,2,2,18.0,4,4,0,0,0,1.000,1,41,0,0,1,53,1,0,,2.00,2.00
15,Ian Desmond,30,TEX,AL,1,1,1,9.0,3,3,0,0,0,1.000,-0,-5,-0,0,0,0,0,0,,3.00,3.00
16,Jacoby Ellsbury,32,NYY,AL,2,2,2,18.0,4,4,0,0,0,1.000,-1,-43,-1,-0,0,0,0,0,,2.00,2.00
17,Ramon Flores,24,MIL,NL,3,2,2,21.0,8,8,0,0,0,1.000,1,63,1,-0,1,46,1,0,,3.43,2.67
18,Dexter Fowler,30,CHC,NL,2,2,2,18.0,4,4,0,0,0,1.000,-0,-15,-0,0,-1,-80,-1,0,,2.00,2.00
